num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2023S040280;Colisión doble;HORTALEZA;Lluvia débil;Mediodía;Vías de gran tamaño;444913,0;4481427,0;2024-01-04;14;1
2023S040309;Colisión doble;CENTRO;Lluvia débil;Mediodía;Vías de pequeño tamaño;440123,0;4475170,0;2024-02-15;14;1
2023S040310;Colisión doble;CHAMBERÍ;Despejado;Mañana;Plazas o glorietas;440137,0;4475721,0;2024-02-18;10;0
2023S040312;Colisión doble;TETUÁN;Despejado;Tarde;Vías de pequeño tamaño;440709,0;4480102,0;2024-02-25;17;0
2023S040316;Alcance;LATINA;Lluvia débil;Mediodía;Vías rápidas o carreteras;433983,0;4468473,0;2024-03-07;14;0
2023S040319;Choque;MONCLOA-ARAVACA;Despejado;Mañana;Vías rápidas o carreteras;437064,0;4478229,0;2024-03-27;8;0
2024S000001;Colisión múltiple;RETIRO;Despejado;Madrugada;Vías rápidas o carreteras;443927,0;4473998,0;2024-01-01;1;1
2024S000002;Choque;PUENTE DE VALLECAS;Despejado;Madrugada;Vías de pequeño tamaño;443249,0;4471571,0;2024-01-01;2;0
2024S000004;Colisión doble;MORATALAZ;Despejado;Madrugada;Vías de gran tamaño;444513,0;4473729,0;2024-01-01;2;0
2024S000005;Colisión doble;CARABANCHEL;Despejado;Madrugada;Vías de gran tamaño;436809,0;4469484,0;2024-01-01;2;0
2024S000010;Colisión doble;CENTRO;Despejado;Mañana;Vías de pequeño tamaño;440193,0;4474773,0;2024-01-01;7;0
2024S000012;Colisión doble;CARABANCHEL;Despejado;Mañana;Vías de pequeño tamaño;437002,0;4470046,0;2024-01-01;8;0
2024S000013;Atropello a persona;SALAMANCA;Despejado;Mañana;Vías de pequeño tamaño;442700,0;4475970,0;2024-01-01;7;1
2024S000015;Choque;CHAMBERÍ;Despejado;Mañana;Vías de gran tamaño;441549,0;4475931,0;2024-01-01;7;0
2024S000018;Colisión múltiple;MONCLOA-ARAVACA;Nublado;Mañana;Vías de pequeño tamaño;439703,0;4479106,0;2024-01-01;7;0
2024S000022;Choque;CHAMARTÍN;Despejado;Mediodía;Vías de pequeño tamaño;442268,0;4478258,0;2024-01-01;12;0
2024S000025;Alcance;CARABANCHEL;Despejado;Mediodía;Vías de pequeño tamaño;437822,0;4471073,0;2024-01-01;15;0
2024S000027;Colisión doble;CARABANCHEL;Despejado;Tarde;Vías de pequeño tamaño;437732,0;4470986,0;2024-01-01;16;1
2024S000028;Choque;PUENTE DE VALLECAS;Despejado;Tarde;Vías de pequeño tamaño;443496,0;4472305,0;2024-01-01;16;0
2024S000029;Alcance;VICÁLVARO;Despejado;Tarde;Vías de pequeño tamaño;447084,0;4472972,0;2024-01-01;16;1
2024S000032;Colisión doble;ARGANZUELA;Despejado;Tarde;Vías de gran tamaño;441147,0;4472907,0;2024-01-01;18;0
2024S000033;Choque;SALAMANCA;Despejado;Mediodía;Vías de pequeño tamaño;443832,0;4475667,0;2024-01-01;15;0
2024S000034;Colisión doble;CHAMBERÍ;Despejado;Tarde;Vías de pequeño tamaño;439125,0;4476637,0;2024-01-01;19;0
2024S000035;Colisión doble;VICÁLVARO;Despejado;Tarde;Vías de pequeño tamaño;448375,0;4472779,0;2024-01-01;19;0
2024S000037;Colisión doble;FUENCARRAL-EL PARDO;Despejado;Noche;Vías de pequeño tamaño;439122,0;4480403,0;2024-01-01;20;1
2024S000038;Alcance;ARGANZUELA;Despejado;Noche;Vías de gran tamaño;441697,0;4471196,0;2024-01-01;21;0
2024S000039;Colisión doble;RETIRO;Despejado;Noche;Vías de gran tamaño;442361,0;4473141,0;2024-01-01;22;1
2024S000041;Alcance;USERA;Despejado;Noche;Vías de gran tamaño;441385,0;4468726,0;2024-01-01;23;0
2024S000042;Atropello a persona;ARGANZUELA;Despejado;Noche;Vías de pequeño tamaño;441302,0;4473060,0;2024-01-01;22;0
2024S000044;Choque;SALAMANCA;Despejado;Noche;Vías de pequeño tamaño;443065,0;4475662,0;2024-01-01;23;0
2024S000045;Colisión doble;CHAMARTÍN;Despejado;Madrugada;Vías de pequeño tamaño;441829,0;4480261,0;2024-01-02;6;0
2024S000053;Atropello a persona;VILLA DE VALLECAS;Nublado;Mañana;Vías de pequeño tamaño;445775,0;4469684,0;2024-01-02;7;2
2024S000054;Colisión doble;TETUÁN;Despejado;Mañana;Vías de pequeño tamaño;440234,0;4478376,0;2024-01-01;11;0
2024S000055;Colisión doble;ARGANZUELA;Despejado;Mañana;Vías de gran tamaño;439147,0;4473245,0;2024-01-02;9;0
2024S000056;Atropello a persona;BARAJAS;Despejado;Mañana;Instalaciones o infraestructuras;449849,0;4482596,0;2024-01-02;7;1
2024S000057;Colisión doble;LATINA;Nublado;Mañana;Vías de gran tamaño;435234,0;4472480,0;2024-01-02;9;1
2024S000058;Caída;VILLAVERDE;Despejado;Mañana;Plazas o glorietas;439897,0;4465733,0;2024-01-02;9;1
2024S000061;Choque;FUENCARRAL-EL PARDO;Despejado;Mañana;Vías de gran tamaño;440793,0;4482315,0;2024-01-02;9;0
2024S000062;Alcance;BARAJAS;Despejado;Mañana;Vías de gran tamaño;450731,0;4478204,0;2024-01-02;11;1
2024S000064;Colisión doble;SALAMANCA;Despejado;Mañana;Vías de pequeño tamaño;441788,0;4475430,0;2024-01-02;10;1
2024S000065;Alcance;CENTRO;Despejado;Mañana;Vías de gran tamaño;438800,0;4473956,0;2024-01-02;11;1
2024S000066;Alcance;SAN BLAS-CANILLEJAS;Nublado;Mediodía;Vías de pequeño tamaño;447696,0;4477204,0;2024-01-02;12;1
2024S000068;Colisión doble;PUENTE DE VALLECAS;Despejado;Mediodía;Vías de pequeño tamaño;442997,0;4470675,0;2024-01-02;13;0
2024S000070;Colisión doble;SAN BLAS-CANILLEJAS;Despejado;Noche;Vías de pequeño tamaño;448270,0;4474626,0;2024-01-01;22;1
